epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89166,0,38.9062,0,0,0,0,0,0,4.68891,0,0,0,0
2,6.4185,0,38.956,0,0,0,0,0,0,4.69119,0,1.12625e-05,1.12625e-05,1.12625e-05
3,7.94287,0,38.8613,0,0,0,0,0,0,4.6935,0,2.005e-05,2.005e-05,2.005e-05
4,9.48101,0,38.7246,0,0,0,0,0,0,4.69577,0,2.63625e-05,2.63625e-05,2.63625e-05
5,10.9678,0,38.6498,0,0,0,0,0,0,4.69782,0,3.02e-05,3.02e-05,3.02e-05
6,12.4356,0,38.4552,0,0,0,0,0,0,4.69991,0,3.15625e-05,3.15625e-05,3.15625e-05
7,13.93,0,38.438,0,0,0,0,0,0,4.70166,0,3.045e-05,3.045e-05,3.045e-05
8,15.4138,0,38.2957,0,0,0,0,0,0,4.70344,0,2.68625e-05,2.68625e-05,2.68625e-05
9,16.9094,0,38.1558,0,0,0,0,0,0,4.70515,0,2.08e-05,2.08e-05,2.08e-05
10,18.4437,0,38.1869,0,0,0,0,0,0,4.70682,0,1.22625e-05,1.22625e-05,1.22625e-05
